Statement Parser 2 Failure Analysis [host = bheema, date = 2018-10-16]
Summary
Total Attempts - 25850
SP2 failure - 1229 times
When SP2 failed - SP1 succeeded 311 times, failed 829 times, unknown status (timed out?) 89 times
Nature of SP2 failure - Total: 1229, Unidentified: 901, Unimplemented: 0, Parser Failure: 319, Itemizer Failure: 0, Tabula Failure: 2, Internal Error: 1, Others: 6
Details
Data dir & files	Declared inst_id	SP2 Failure	SP1 Result
60440980 Duplicate	191	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION This statement is supported by sp2 only.
60443080 Duplicate	43	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60445040 Duplicate	20	Unidentified	SP1 succeeded
60445080 Duplicate	20	Unidentified	SP1 succeeded
60446200 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60448290 Image Statement	20	SP2 Parser failure	SP1 succeeded
60451020 Statement Password	23	Unidentified	SP1 succeeded
60452100 Duplicate	9	SP2 Parser failure	SP1 succeeded
60452520 Image Statement	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60452630 Duplicate	9	SP2 Parser failure	SP1 succeeded
60453790 Image Statement	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60456140 Image Statement	35	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_NO_TRANSACTIONS Looks like the statement does not contain any transactions. Please upload a valid statement
60457270 Image Statement	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60457310 Duplicate	17	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60458000 Duplicate	31	Unidentified	SP1 possibly timed out
60458630 Duplicate	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60459370 Duplicate	23	Unidentified	SP1 succeeded
60461070 Duplicate	43	SP2 Parser failure	SP1 possibly timed out
60462600 Duplicate	31	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60464050 Statement Password	2	Unidentified	SP1 succeeded
60464480 Image Statement Password	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60464910 Image Statement Password	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60465310 Image Statement	83	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60465690 Image Statement Password	10	Unidentified	SP1 succeeded
60465950 Image Statement	35	SP2 Internal error	SP1 possibly timed out
60470360 Duplicate	83	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60472630 Duplicate	9	SP2 Parser failure	SP1 succeeded
60472760 Duplicate	8	SP2 Parser failure	SP1 succeeded
60475390 Image Statement	42	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_UNSUPPORTED_FORMAT HTML File (from netbanking) converted to PDF and uploaded. Does not support such statement.
60475460 Image Statement	42	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_UNSUPPORTED_FORMAT HTML File (from netbanking) converted to PDF and uploaded. Does not support such statement.
60475990 Image Statement	15	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60479440 Image Statement	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60481240 Image Statement	12	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60482480 Image Statement	20	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_UNSUPPORTED_FORMAT HTML File (from netbanking) converted to PDF and uploaded. Does not support such statement.
60483660 Duplicate	21	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60486570 Duplicate	12	SP2 Parser failure	SP1 succeeded
60487750 Image Statement	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60488320 Image Statement	4	SP2 Parser failure	SP1 succeeded
60490080 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60490340 Image Statement	32	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60490550 Duplicate	32	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60490750 Duplicate	17	Unidentified	SP1 possibly timed out
60490820 Duplicate	43	SP2 Parser failure	SP1 possibly timed out
60493950 Duplicate	12	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60495990 Duplicate	8	Unidentified	SP1 succeeded
60496580 Image Statement Password	30	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60497390 Image Statement Password	12	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60498110 Image Statement	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60498390 Image Statement	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60498920 Image Statement	140	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60498940 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60501920 Image Statement	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60502500 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60502540 Image Statement	16	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60502880 Image Statement	30	Unidentified	SP1 possibly timed out
60503110 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60503710 Image Statement	22	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_UNSUPPORTED_FORMAT Improper bank statement, does not have running balance.
60505790 Image Statement	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60507100 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60513630 Image Statement Password	16	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60515140 Duplicate	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60517600 Duplicate	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60518330 Image Statement	45	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60518580 Duplicate	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60519940 Duplicate	43	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60520060 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60521850 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60525150 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60527430 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60527870 Image Statement	28	SP2 Parser failure	SP1 succeeded
60528180 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60532170 Image Statement	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60535090 Duplicate	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60538490 Image Statement Password	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60538970 Image Statement Password	43	Unidentified	SP1 possibly timed out
60541390 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60542890 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543290 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543400 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543860 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543920 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60544040 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60544130 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60544410 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60544510 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60545500 Image Statement Password	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60546240 Duplicate	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60546450 Statement Password	41	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60546510 Image Statement Password	4	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60546770 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60550660 Duplicate	30	Unidentified	SP1 possibly timed out
60550730 Image Statement Password	2	Unidentified	SP1 succeeded
60550960 Duplicate	22	Unidentified	SP1 succeeded
60551590 Image Statement	77	Unidentified	SP1 failed with message #ERROR INVALID HTML File (from netbanking) converted to PDF and uploaded. Does not support such statement.
60329311 Duplicate	20	Unidentified	SP1 succeeded
60358121 Image Statement	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60393771 Statement	15	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60393801 Duplicate	4	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60395161 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60395641 Image Statement	2	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60405651 Image Statement Password	11	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60408521 Duplicate	52	SP2 Parser failure	SP1 succeeded
60409131 Image Statement	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60411531 Image Statement Password	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60412541 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60415311 Image Statement Password	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60416051 Image Statement	43	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60416191 Image Statement	43	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60417341 Image Statement Password	267	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_INST This institution is not supported yet.
60419881 Duplicate	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60420551 Duplicate	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60424231 Duplicate	15	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date has appeared in desc order, lastXnDate[2018-07-31] currXnDate[2018-07-27] nextXnDate[2018-07-26]
60426991 Image Statement	35	Unidentified	SP1 succeeded
60427301 Duplicate	11	Unidentified	SP1 possibly timed out
60429801 Image Statement Password	226	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_INST This institution is not supported yet.
60432001 Duplicate	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60432011 Duplicate	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60434551 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60434841 Image Statement Password	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60434871 Duplicate	21	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60435051 Image Statement	2	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60438071 Duplicate	11	Unidentified	SP1 possibly timed out
60445501 Duplicate	20	Unidentified	SP1 succeeded
60445891 Image Statement	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60451411 Image Statement	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60453801 Duplicate	15	SP2 Parser failure	SP1 succeeded
60453871 Duplicate	9	SP2 Parser failure	SP1 succeeded
60453981 Image Statement	11	Unidentified	SP1 succeeded
60454251 Duplicate	23	Unidentified	SP1 succeeded
60454451 Duplicate	23	Unidentified	SP1 succeeded
60454471 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60455721 Duplicate	172	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION This statement is supported by sp2 only.
60456531 Duplicate	4	Unidentified	SP1 succeeded
60456831 Duplicate	20	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60458921 Duplicate	20	SP2 Parser failure	SP1 succeeded
60460371 Image Statement	35	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_NO_TRANSACTIONS Looks like the statement does not contain any transactions. Please upload a valid statement
60460671 Image Statement Password	22	Unidentified	SP1 succeeded
60460921 Image Statement	23	Unidentified	SP1 succeeded
60465241 Image Statement	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60465311 Image Statement	83	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60468651 Image Statement	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60469691 Image Statement Password	51	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60470361 Duplicate	83	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60472141 Duplicate	9	SP2 Parser failure	SP1 succeeded
60472851 Duplicate	9	SP2 Parser failure	SP1 succeeded
60472871 Duplicate	9	SP2 Parser failure	SP1 succeeded
60473191 Duplicate	9	SP2 Parser failure	SP1 succeeded
60473641 Duplicate	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60477381 Image Statement Password	19	SP2 Parser failure	SP1 succeeded
60477891 Image Statement Password	12	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60481171 Image Statement	4	SP2 Parser failure	SP1 succeeded
60481251 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60482231 Image Statement	21	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60482391 Duplicate	11	SP2 Parser failure	SP1 succeeded
60482471 Image Statement	20	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_UNSUPPORTED_FORMAT HTML File (from netbanking) converted to PDF and uploaded. Does not support such statement.
60488291 Image Statement	4	SP2 Parser failure	SP1 succeeded
60488791 Duplicate	14	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date has appeared in desc order, lastXnDate[2018-06-26] currXnDate[2018-02-07] nextXnDate[2018-03-07]
60490341 Image Statement	32	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60490541 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60490551 Duplicate	32	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60490721 Image Statement Password	4	SP2 Parser failure	SP1 succeeded
60490751 Image Statement	15	Unidentified	SP1 possibly timed out
60491341 Duplicate	43	SP2 Parser failure	SP1 possibly timed out
60492051 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60492571 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60493681 Image Statement	15	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date has appeared in desc order, lastXnDate[2018-08-15] currXnDate[2018-08-14] nextXnDate[2018-08-16]
60494401 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60495951 Image Statement	8	Unidentified	SP1 succeeded
60496581 Image Statement Password	30	Unidentified	SP1 succeeded
60496591 Image Statement Password	30	Unidentified	SP1 possibly timed out
60496601 Image Statement Password	30	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60497001 Image Statement	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60497011 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60497751 Image Statement Password	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60498311 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60498381 Duplicate	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60498391 Duplicate	4	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60500371 Duplicate	8	Unidentified	SP1 succeeded
60501391 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60502261 Image Statement Password	4	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60503871 Duplicate	30	Unidentified	SP1 possibly timed out
60503951 Duplicate	25	Unidentified	SP1 succeeded
60504641 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60506291 Duplicate	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Invalid xn 2018-07-61,\N,.Int.Coll.01-0 j" \, 3 86\,595.00 90\,79\,839.50or i i \, 30130500000003:Int.Coll:01-07-2018 to 31-07-2018,50000.00,-9129839.5
60506661 Duplicate	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60507351 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60508231 Image Statement	156	SP2 Parser failure	SP1 succeeded
60509201 Duplicate	81	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date has appeared in desc order - reverseSort, lastXnDate[2018-04-12] and currXnDate[2018-04-11]
60509551 Duplicate	29	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60510661 Image Statement Password	4	SP2 Parser failure	SP1 succeeded
60512281 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60515701 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60515781 Duplicate	161	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION This statement is supported by sp2 only.
60516111 Image Statement	24	Unidentified	SP1 succeeded
60516861 Duplicate	44	Unidentified	SP1 succeeded
60517391 Duplicate	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60519381 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60520151 Statement Password	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60521281 Duplicate	9	SP2 Parser failure	SP1 succeeded
60521341 Duplicate	9	SP2 Parser failure	SP1 succeeded
60524471 Image Statement	81	Unidentified	SP1 succeeded
60524761 Image Statement	23	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60525441 Image Statement	12	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60527931 Duplicate	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60527971 Image Statement Password	24	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60530101 Image Statement Password	71	Unidentified	SP1 succeeded
60532241 Image Statement	22		SP1 succeeded
60532271 Statement Password	9		SP1 succeeded
60532301 Duplicate	43	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60535041 Duplicate	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60535101 Image Statement Password	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60535941 Image Statement Password	57	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Withdrawal length not found
60536401 Image Statement Password	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60536851 Image Statement	11	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60537131 Duplicate	32	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60537161 Duplicate	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60537331 Duplicate	71	Unidentified	SP1 succeeded
60538601 Duplicate	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60539961 Statement	35	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_UNSUPPORTED_FORMAT We donot support statements of this type.
60540001 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543351 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543591 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543731 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60544051 Image Statement	20	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60544541 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60544621 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60546001 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60546511 Duplicate	25	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60549281 Duplicate	2	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60550571 Image Statement	30	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60552641 Image Statement	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60552651 Image Statement	43	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60553541 Duplicate	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60393902 Duplicate	30	Unidentified	SP1 succeeded
60395832 Image Statement Password	2	SP2 Parser failure	SP1 succeeded
60406772 Image Statement Password	28	Unidentified	SP1 failed with message #ERROR INVALID E_FILE_NOT_STATEMENT You have uploaded a Credit Card statement, please upload a valid bank statement.
60406912 Image Statement	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60408512 Image Statement Password	52	SP2 Parser failure	SP1 succeeded
60408912 Image Statement	15	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60412492 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60418542 Image Statement	151	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60423292 Image Statement	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60423332 Duplicate	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60423382 Duplicate	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60423402 Duplicate	77	SP2 Parser failure	SP1 failed with message #ERROR INVALID E_STATEMENT_UNSUPPORTED_FORMAT HTML File (from netbanking) converted to PDF and uploaded. Does not support such statement.
60426412 Image Statement	21	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60427962 Duplicate	4	SP2 Parser failure	SP1 succeeded
60429172 Image Statement	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60429312 Duplicate	178	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION This statement is supported by sp2 only.
60430252 Image Statement	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60430442 Image Statement	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60430472 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60431082 Image Statement Password	23	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60431442 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60431982 Statement	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60431992 Image Statement Password	24	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60433112 Image Statement	20	SP2 Parser failure	SP1 succeeded
60434892 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60435722 Image Statement	76	Unidentified	SP1 succeeded
60435752 Image Statement	25		SP1 succeeded
60435792 Image Statement	76	Unidentified	SP1 succeeded
60435872 Image Statement	76	Unidentified	SP1 succeeded
